AUX, ATTR, ADJ, NSUBJ, 
is, 💞, good, Everything, Nice 👍🏻 Game! Everything is good perfect and comfortable 💞 BUT I gave this game 4 🌟 s cause there should be a tool that can be used to decorate blocks.. I know that there is a mod 'chisel and bits mod' which is only for PC USERS!? I don't like that because mobile users cannot access to that mod 😖 please put a tool that can decorate blocks without any mod like that chisel and bits one.
is, game, great, This, This is a great game for craivit people.
is, game, put, this, In my opinion, this is a well put together game. I've played minecraft on console, and yes, the mobile version is different, but in my opinion it is better than console.
was, game, first, You, You was my first game that I love back if I'm worried it's the most popular and most modded game
's, game, popular, it, You was my first game that I love back if I'm worried it's the most popular and most modded game
is, game, great, This, This is a great game anything is possible
IS, GAME, WORST, THIS, THIS IS THE WORST GAME EVER DO NOT PLAY IT
is, Game, Great, It, It is a Great Game To Try Out And Has a lot of colorful feautures and its Graphics and I would Agree With Anyone who is willing to like minecraft because of this
is, game, AMAZING, This, This is an AMAZING game! Though it costs money, it's worth it! You get to create worlds and add mods so your worlds can be a lot cooler! I have over 100 worlds right now and over 30 mods! It's really fun to play and I recommend downloading this game. And their are a lot of food like🍪,🍯,🎂,🍎,🍉,🥕,🥖,🍗,🍛, golden carrots, golden apples,fish, basically they have a lot of food for vegan people and for non vegan people! It's also kid friendly! Also I'm not a robot. If your new play on creative🤗
is, game, best, It, It is the best game we need new weapons though and you also need to add skill points like add .5 speed plz but I've been playing since I was 1 It needs a new kick but keep up the good work and can you be my sponsor plz for my youtube channel I last thing new new ores like scientific ores radium
's, game, only, it, It's soooo fun it's the only game I give 5 stars ⭐⭐⭐⭐⭐
's, minecraft, good, It, It's a very very good game minecraft but one thing i like to splode that tnt and my word is starting to lagging so people don't put that much tnt and spawn egg
's, 🙄, annoying, it, To me it's because it made me sign in again! And it's annoying 🙄 . So could mojang pls fix it bc I already had a account!
's, game, fun, It, It's a very fun game and I mostly play it with my brother. But why skin packs and game mods need to use mine coins that cost money. But overall it very fun 🙂
was, experience, good, It, Minecraft has always been one of my favorite games and I had to play on my PS3 because I didn't have any other consoles. And I didn't have money to buy minecraft on my phone but I got money and I played it. It was a really good experience and anyone who is reading this you should buy it. You won't regret it.
's, game, good, it, Mojang it's a good game but my world's have been corrupted ALL OF THEM CORRUPTED and my plane world I made so much progress in plz fix this and prevent it from happening again 😊😊😊
is, game, cool, This, This is a cool game
's, game, fun, It, It's a fun game and there is no ads
was, game, overall, It, It was an overall great game but sometimes fails to load or create worlds and struggles to sign in with the Microsoft account.
was, game, great, It, It was an overall great game but sometimes fails to load or create worlds and struggles to sign in with the Microsoft account.
's, experience, Amazing, It, It's a Amazing experience in the Minecraft world! So many blocks and stuff to see! The only reason I gave it four stars is because it takes up so much space,
is, game, amazing, it, Right now it is letting me walk though trees in survival but otherwise I love it it is amazing game but the updates are so big that I only have this game and I have nothing to delete so I wish updates were smaller
is, 👌, best, it, There is so much to say all I can say is it is the 👌 best 👌
is, game, incredible, It, It is an incredible game with so much interactive mods!!!
's, game, good, it, It does not save any of my progress and it won't let me sign into my account or it will not let me make an account anytime that I try it'll just say sorry this account has already been used or sorry you're not allowed to use this username or this is wrong or something is just going on bad about it and there's nothing that I can do and it's so stupid and I regret buying this for $7 it was not worth it and it will not give you back your money which is stupid it's just not a good game
is, 👏, amazing, It, It is so amazing 👏
is, experience, best, It, It is the best experience ever never could have a better game but i would also like to have it free on mobile to buy or get mods like skybkock because computers and console get it easy and i would like it to be free over all i love the game
is, game, best, It, It is the best game ever I love it the only way it is a 4 because if you don't have wifi it lags but I love it
is, game, favorite, This, This is my favorite game when I was little. AND I STILL PLAY IT ALOT!! LOVE THE game it's so cool 😎 Even my dad likes it 😂 we play it on my Playstation 😁 with my friends on my computer, it's just so much fun! There are so many updates!! Keep up the work 💪!!!
's, 😎, cool, it, This is my favorite game when I was little. AND I STILL PLAY IT ALOT!! LOVE THE game it's so cool 😎 Even my dad likes it 😂 we play it on my Playstation 😁 with my friends on my computer, it's just so much fun! There are so many updates!! Keep up the work 💪!!!
's, fun, much, it, This is my favorite game when I was little. AND I STILL PLAY IT ALOT!! LOVE THE game it's so cool 😎 Even my dad likes it 😂 we play it on my Playstation 😁 with my friends on my computer, it's just so much fun! There are so many updates!! Keep up the work 💪!!!
's, graphics, bad, It, It's a RIP off bad graphics😤😠
are, mods, Java, those, This game is well worth the money, and somewhat underpriced! There are so many things to do, and this game has given me many years of happy memories, and relieves me of stress! The only thing I wish I could have is certain mods from my computer, but those are Java mods so :/, over all 5 Stars, and once Thanks for the Memories!
is, game, best, This, This is the best game by ever Bye Because this Game I like building by theway meow
's, game, favorite, it, This game is so iconic and never gets boring. I just love Minecraft, I have been playing it for 5 years and it's still my favorite game of all time.
is, game, best, This, This is the best game ever created and I gave it a four star because of the lag but overall this is the best game I found.
is, game, best, this, This is the best game ever created and I gave it a four star because of the lag but overall this is the best game I found.
is, game, amazing, All, All i have to say is its an amazing game
is, consonted, good, It, It is a very good game consonted updates a lot to do I have a year old world and i have not ran out of ideas
's, app, big, it, I love the game but I think it's a big app because I can't update roblox anymore but I will still give you a 5 star Just because I just love the game but lunar moon and red sun is in there please delete it
is, game, best, this, Best game I no words to but this is best game ever I seen in my life
is, Game, great, This, This is A great Game but Please Add gravity I want Gravity Please add It
be, game, good, It, It's can be a really good action game when you play it on nights an really calming when in a day
's, game, best, it, This game is really fun i like the animals the blocks it's the best game ever
is, game, best, This, This is the best game ever
's, game, great, It, I love minecraft. It lags sometimes but it mostly gets fixed with new updates. It's a great game for about 10 and up and there's plenty to do. It's so fun watching this game get bigger and better.
am, 😔, disappointed, I, Very bad game I hate it So much it bugs me so much so when I try to play just doesn't load I waited for an hour twice for it to load it wasted all my money I only have 249 dollars bc of the game I am very disappointed 😔
is, game, great, it, Minrcraft i love it it is a great game i love it you can play with friends i play with my brother but if you ad guinea pigs i love guinea pigs i have and i am asking you can you ad guinea pigs
is, game, good, it, THIS IS THE BEST GAME EVER. I recommended this for all ages plus it is teacher approved plus the education Edition it is a very good game i have been playing this game for 5 years now AND I LOVE IT i learned a lot from this game. I dream of joining your developer team and defending it. This game is way better then roblox. A lot less glichy and more trust worthy in buying minecoins but every once in a while theres a little bug but thats ok and i meet a lot of new people every day. Mojang thanks.
's, loop, ending, It, I cannot sign into my account. It's a never ending loop of "are you trying to sign into Minecraft for Android?" And then it takes me back to the home screen of Minecraft withOUT signing in.
is, scythe, long, that, I love your game and i want you to add it were there is a new weapon that is a long scythe
's, game, good, It, It's a good game until it stops working I bought it once on my tablet it stopped working I thought it was because my tablet was old now I have a phone and it says we can't register make shure you downloaded it from the store it's seven bucks and it's honestly a waste now
is, game, best, This, This is probably the best game for mobile out there :) The controls are customizable and if you want to add something or don't like something you can always download a mod or resource pack :D
is, game, fun, It, It is a really fun game and where you can express yourself and be uniqe. So i love it so much in my opinion
's, game, good, It, It's a good game although the mobs that I find spawn or tame keep respawning no matter what I do. This makes it especially difficult to create farms when all my animals disappear in the next day. Please get this fixed its getting annoying.:(
's, game, creative, It, It's a very creative game it's nice.
is, game, best, This, This is the best game
Is, game, beatiful, the, the Is beatiful game! thank developer😊😊
is, game, great, This, This is a great game, maybe even best game. But, could you please take out bugs?
is, game, good, This, This is the very good game
was, experience, good, It, It was a very good experience it just needs to load a bit faster.
is, game, good, It, It is a good game and it's getting a update and I love the warden it's so cool
's, game, fun, it, I don't know how to sign in but it's a very fun game and I can't use mods so please add an update that the people which have don't accounts can play mods too
